occupation_title,median_annual_wage_2018,typical_entry_level_education,education_code,work_experience,typical_on_the_job_training
Multimedia artists and animators    ,72520,Bachelors degree,3,None,None
Multiple machine tool setters,35390,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Museum technicians and conservators    ,43020,Bachelors degree,3,None,None
Music directors and composers    ,49630,Bachelors degree,3,Less than 5 years,None
Musical instrument repairers and tuners    ,36330,High school diploma or equivalent,7,None,Apprenticeship
Musicians and singers    ,,No formal educational credential,8,None,Long-term on-the-job training
Natural sciences managers    ,123860,Bachelors degree,3,5 years or more,None
Network and computer systems administrators    ,82050,Bachelors degree,3,None,None
New accounts clerks    ,35800,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Nonfarm animal caretakers    ,23760,High school diploma or equivalent,7,None,Short-term on-the-job training
Nuclear engineers    ,107600,Bachelors degree,3,None,None
Nuclear medicine technologists    ,76820,Associates degree,4,None,None
Nuclear power reactor operators    ,94350,High school diploma or equivalent,7,None,Long-term on-the-job training
Nuclear technicians    ,79140,Associates degree,4,None,Moderate-term on-the-job training
Nurse anesthetists    ,167950,Masters degree,2,None,None
Nurse midwives    ,103770,Masters degree,2,None,None
Nurse practitioners    ,107030,Masters degree,2,None,None
Nursing assistants    ,28540,Postsecondary nondegree award,5,None,None
Nursing instructors and teachers,73490,Doctoral or professional degree,1,Less than 5 years,None
Obstetricians and gynecologists    ,>=208000,Doctoral or professional degree,1,None,Internship/residency
