state,occupation,employee_count,annual_mean_pay,hourly_mean_pay
ID,Glaziers,690,39760,19.11
ID,"Insulation Workers, Floor, Ceiling, and Wall",400,29150,14.01
ID,"Insulation Workers, Mechanical",120,38840,18.67
ID,"Painters, Construction and Maintenance",1860,35210,16.93
ID,Pipelayers,120,42350,20.36
ID,"Plumbers, Pipefitters, and Steamfitters",1630,47320,22.75
ID,Plasterers and Stucco Masons,,36560,17.58
ID,Roofers,860,39280,18.88
ID,Sheet Metal Workers,300,42700,20.53
ID,Structural Iron and Steel Workers,310,39230,18.86
ID,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",120,32640,15.69
ID,Helpers--Carpenters,150,28510,13.71
ID,Helpers--Electricians,140,39700,19.09
ID,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",80,28700,13.80
ID,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",160,26780,12.87
ID,Helpers--Roofers,,28310,13.61
ID,Construction and Building Inspectors,370,58500,28.12
ID,Elevator Installers and Repairers,,75640,36.37
ID,Fence Erectors,,28940,13.91
ID,Hazardous Materials Removal Workers,620,,
ID,Highway Maintenance Workers,1070,40920,19.67
ID,Rail-Track Laying and Maintenance Equipment Operators,,55690,26.77
ID,Septic Tank Servicers and Sewer Pipe Cleaners,240,31900,15.34
ID,"Earth Drillers, Except Oil and Gas",150,56760,27.29
ID,Continuous Mining Machine Operators,500,60040,28.87
ID,Helpers--Extraction Workers,,47990,23.07
ID,"Installation, Maintenance, and Repair Occupations",31110,44500,21.39
ID,"First-Line Supervisors of Mechanics, Installers, and Repairers",2340,60400,29.04
ID,"Computer, Automated Teller, and Office Machine Repairers",520,41840,20.12
ID,"Telecommunications Equipment Installers and Repairers, Except Line Installers",850,54140,26.03
ID,Avionics Technicians,130,50570,24.31
ID,"Electric Motor, Power Tool, and Related Repairers",90,40290,19.37
ID,"Electrical and Electronics Installers and Repairers, Transportation Equipment",,92090,44.27
ID,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",480,63540,30.55
ID,Electronic Home Entertainment Equipment Installers and Repairers,120,38140,18.33
ID,Security and Fire Alarm Systems Installers,190,39370,18.93
ID,Aircraft Mechanics and Service Technicians,710,54960,26.42
ID,Automotive Body and Related Repairers,690,45270,21.76
ID,Automotive Glass Installers and Repairers,200,37060,17.82
ID,Automotive Service Technicians and Mechanics,4000,41060,19.74
ID,Bus and Truck Mechanics and Diesel Engine Specialists,1570,42770,20.56
ID,Farm Equipment Mechanics and Service Technicians,620,42660,20.51
ID,"Mobile Heavy Equipment Mechanics, Except Engines",860,47670,22.92
ID,Rail Car Repairers,220,45620,21.93
ID,Motorboat Mechanics and Service Technicians,90,32770,15.75
ID,Motorcycle Mechanics,220,38780,18.64
ID,Outdoor Power Equipment and Other Small Engine Mechanics,430,34230,16.46
ID,Bicycle Repairers,180,27270,13.11
ID,Recreational Vehicle Service Technicians,330,37340,17.95
ID,Tire Repairers and Changers,1210,30090,14.47
ID,Mechanical Door Repairers,,36610,17.60
ID,"Control and Valve Installers and Repairers, Except Mechanical Door",320,43930,21.12
ID,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2660,42640,20.50
ID,Home Appliance Repairers,300,32820,15.78
ID,Industrial Machinery Mechanics,1650,51810,24.91
ID,"Maintenance Workers, Machinery",410,51630,24.82
ID,Millwrights,310,57360,27.58
ID,Electrical Power-Line Installers and Repairers,710,84280,40.52
ID,Telecommunications Line Installers and Repairers,430,46410,22.31
ID,Medical Equipment Repairers,90,54520,26.21
ID,"Precision Instrument and Equipment Repairers, All Other",70,48790,23.46
ID,"Maintenance and Repair Workers, General",6220,36920,17.75
ID,"Coin, Vending, and Amusement Machine Servicers and Repairers",230,34910,16.78
ID,Locksmiths and Safe Repairers,50,33480,16.09
ID,"Helpers--Installation, Maintenance, and Repair Workers",700,31310,15.05
ID,"Installation, Maintenance, and Repair Workers, All Other",540,42280,20.33
ID,Production Occupations,47760,36820,17.70
ID,First-Line Supervisors of Production and Operating Workers,3520,59620,28.67
ID,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",1220,30230,14.53
ID,Structural Metal Fabricators and Fitters,340,35380,17.01
ID,Fiberglass Laminators and Fabricators,120,34160,16.42
ID,"Assemblers and Fabricators, All Other, Including Team Assemblers",7830,31080,14.94
ID,Bakers,900,26640,12.81
ID,Butchers and Meat Cutters,1010,32440,15.59
ID,"Meat, Poultry, and Fish Cutters and Trimmers",220,26080,12.54
ID,Slaughterers and Meat Packers,370,24360,11.71
ID,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",260,34310,16.50
ID,Food Batchmakers,2030,31250,15.02
ID,Food Cooking Machine Operators and Tenders,670,36410,17.50
ID,"Food Processing Workers, All Other",110,36610,17.60
ID,"Computer-Controlled Machine Tool Operators, Metal and Plastic",440,38730,18.62
ID,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",110,45030,21.65
ID,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",370,30090,14.47
ID,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",190,30910,14.86
ID,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",170,28540,13.72
ID,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",40,33270,16.00
ID,Machinists,1410,44610,21.45
ID,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",280,32180,15.47
ID,Tool and Die Makers,50,48360,23.25
ID,"Welders, Cutters, Solderers, and Brazers",3230,37740,18.14
ID,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",70,33180,15.95
ID,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",180,33090,15.91
ID,"Tool Grinders, Filers, and Sharpeners",60,44240,21.27
ID,"Metal Workers and Plastic Workers, All Other",,34660,16.66
ID,Prepress Technicians and Workers,90,39150,18.82
ID,Printing Press Operators,550,32650,15.70
ID,Print Binding and Finishing Workers,130,33560,16.14
ID,Laundry and Dry-Cleaning Workers,870,22650,10.89
ID,"Pressers, Textile, Garment, and Related Materials",140,23130,11.12
ID,Sewing Machine Operators,310,25360,12.19
ID,Shoe and Leather Workers and Repairers,,30900,14.85
ID,"Sewers, Hand",150,30990,14.90
ID,"Tailors, Dressmakers, and Custom Sewers",,31300,15.05
ID,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",40,33000,15.87
ID,Upholsterers,110,45310,21.79
ID,Cabinetmakers and Bench Carpenters,1030,35520,17.08
ID,Furniture Finishers,60,32860,15.80
ID,"Sawing Machine Setters, Operators, and Tenders, Wood",960,34780,16.72
ID,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",730,33350,16.03
ID,"Woodworkers, All Other",60,31390,15.09
ID,Power Distributors and Dispatchers,90,91880,44.17
ID,Power Plant Operators,320,68280,32.83
ID,Stationary Engineers and Boiler Operators,140,50650,24.35
ID,Water and Wastewater Treatment Plant and System Operators,1330,44970,21.62
ID,"Plant and System Operators, All Other",60,63100,30.34
ID,Chemical Equipment Operators and Tenders,620,53970,25.95
ID,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",400,39870,19.17
ID,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",220,42050,20.22
ID,"Mixing and Blending Machine Setters, Operators, and Tenders",640,33870,16.28
ID,"Cutters and Trimmers, Hand",40,33940,16.32
ID,"Cutting and Slicing Machine Setters, Operators, and Tenders",300,41020,19.72
ID,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",90,46000,22.11
ID,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",110,41550,19.98
ID,"Inspectors, Testers, Sorters, Samplers, and Weighers",1860,37410,17.98
ID,Jewelers and Precious Stone and Metal Workers,50,42040,20.21
ID,Dental Laboratory Technicians,380,45920,22.08
ID,Packaging and Filling Machine Operators and Tenders,3860,33790,16.24
ID,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",250,30910,14.86
ID,"Painters, Transportation Equipment",380,40700,19.57
ID,"Painting, Coating, and Decorating Workers",50,32370,15.56
ID,Semiconductor Processors,990,36750,17.67
ID,Photographic Process Workers and Processing Machine Operators,40,44880,21.58
ID,Cooling and Freezing Equipment Operators and Tenders,80,27450,13.20
ID,"Molders, Shapers, and Casters, Except Metal and Plastic",50,37530,18.04
ID,"Paper Goods Machine Setters, Operators, and Tenders",330,44240,21.27
ID,Helpers--Production Workers,2660,30960,14.88
ID,"Production Workers, All Other",950,29640,14.25
ID,Transportation and Material Moving Occupations,45330,35250,16.95
ID,Aircraft Cargo Handling Supervisors,,60930,29.29
ID,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",1560,51870,24.94
ID,"Airline Pilots, Copilots, and Flight Engineers",100,,
ID,Commercial Pilots,260,76310,
ID,Air Traffic Controllers,60,94910,45.63
ID,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",40,22360,10.75
ID,"Bus Drivers, Transit and Intercity",590,30890,14.85
ID,"Bus Drivers, School or Special Client",2890,28830,13.86
ID,Driver/Sales Workers,2950,27580,13.26
ID,Heavy and Tractor-Trailer Truck Drivers,11940,42010,20.20
ID,Light Truck or Delivery Services Drivers,4520,34630,16.65
ID,Taxi Drivers and Chauffeurs,490,23640,11.37
ID,"Motor Vehicle Operators, All Other",80,32750,15.74
ID,Locomotive Engineers,,60160,28.92
ID,Railroad Conductors and Yardmasters,,61060,29.36
ID,Parking Lot Attendants,220,19320,9.29
ID,Automotive and Watercraft Service Attendants,390,26370,12.68
ID,Transportation Inspectors,70,73870,35.52
ID,"Transportation Attendants, Except Flight Attendants",50,26650,12.81
ID,"Transportation Workers, All Other",140,28060,13.49
ID,Conveyor Operators and Tenders,100,39890,19.18
ID,Crane and Tower Operators,210,52610,25.30
ID,Excavating and Loading Machine and Dragline Operators,180,44000,21.15
ID,Industrial Truck and Tractor Operators,2120,35450,17.04
ID,Cleaners of Vehicles and Equipment,2390,24460,11.76
ID,"Laborers and Freight, Stock, and Material Movers, Hand",9300,31080,14.94
ID,Machine Feeders and Offbearers,280,34430,16.55
ID,"Packers and Packagers, Hand",3110,25210,12.12
ID,Refuse and Recyclable Material Collectors,370,35670,17.15
IL,All Occupations,5991270,53790,25.86
IL,Management Occupations,453460,115580,55.57
IL,Chief Executives,9650,230070,110.61
IL,General and Operations Managers,122790,125990,60.57
IL,Advertising and Promotions Managers,,123390,59.32
IL,Marketing Managers,20760,130110,62.55
IL,Sales Managers,24800,131400,63.17
IL,Public Relations and Fundraising Managers,5160,119330,57.37
IL,Administrative Services Managers,16950,97840,47.04
IL,Computer and Information Systems Managers,17770,143900,69.18
IL,Financial Managers,40040,144680,69.56
IL,Industrial Production Managers,10620,104540,50.26
IL,Purchasing Managers,4400,114710,55.15
IL,"Transportation, Storage, and Distribution Managers",9350,98210,47.21
IL,Compensation and Benefits Managers,1100,126470,60.80
IL,Human Resources Managers,9960,119160,57.29
IL,Training and Development Managers,2450,116960,56.23
IL,"Farmers, Ranchers, and Other Agricultural Managers",240,66820,32.12
IL,Construction Managers,12730,95020,45.68
IL,"Education Administrators, Preschool and Childcare Center/Program",2510,57560,27.67
IL,"Education Administrators, Elementary and Secondary School",12610,103880,
IL,"Education Administrators, Postsecondary",8330,99690,47.93
IL,"Education Administrators, All Other",1720,80440,38.68
IL,Architectural and Engineering Managers,9760,136270,65.51
IL,Food Service Managers,,51440,24.73
IL,Funeral Service Managers,,91090,43.79
IL,Lodging Managers,1480,49360,23.73
IL,Medical and Health Services Managers,14050,121900,58.61
IL,Natural Sciences Managers,1950,118480,56.96
IL,Postmasters and Mail Superintendents,540,75910,36.49
IL,"Property, Real Estate, and Community Association Managers",8580,69110,33.23
IL,Social and Community Service Managers,4380,66150,31.80
IL,Emergency Management Directors,420,81830,39.34
IL,"Managers, All Other",,90080,43.31
IL,Business and Financial Operations Occupations,335360,75600,36.35
IL,"Agents and Business Managers of Artists, Performers, and Athletes",260,67000,32.21
IL,Buyers and Purchasing Agents,15120,66600,32.02
IL,"Claims Adjusters, Examiners, and Investigators",12450,65980,31.72
IL,"Insurance Appraisers, Auto Damage",,68820,33.09
IL,Compliance Officers,8970,74180,35.66
IL,Cost Estimators,5600,66480,31.96
IL,Human Resources Specialists,24540,62410,30.00
IL,Labor Relations Specialists,5400,58620,28.18
IL,Logisticians,8170,67490,32.45
IL,Management Analysts,39780,95110,45.73
IL,"Meeting, Convention, and Event Planners",4420,52570,25.27
IL,Fundraisers,2680,59570,28.64
IL,"Compensation, Benefits, and Job Analysis Specialists",3660,67110,32.27
IL,Training and Development Specialists,9700,64790,31.15
IL,Market Research Analysts and Marketing Specialists,30150,61670,29.65
IL,"Business Operations Specialists, All Other",48780,71780,34.51
IL,Accountants and Auditors,53280,81060,38.97
IL,Appraisers and Assessors of Real Estate,2390,56520,27.17
IL,Budget Analysts,1450,75700,36.40
IL,Credit Analysts,3330,77800,37.40
IL,Financial Analysts,14810,88760,42.67
IL,Personal Financial Advisors,8940,126640,60.88
IL,Insurance Underwriters,5780,75690,36.39
IL,Financial Examiners,2120,102690,49.37
IL,Credit Counselors,1650,47290,22.74
IL,Loan Officers,12330,81620,39.24
IL,"Tax Examiners and Collectors, and Revenue Agents",1350,77970,37.49
IL,Tax Preparers,3370,30200,14.52
IL,"Financial Specialists, All Other",4500,93200,44.81
IL,Computer and Mathematical Occupations,177530,87720,42.17
IL,Computer and Information Research Scientists,500,113350,54.50
IL,Computer Systems Analysts,28130,89370,42.97
IL,Information Security Analysts,3780,98640,47.42
IL,Computer Programmers,11350,91860,44.16
IL,"Software Developers, Applications",30500,96610,46.45
IL,"Software Developers, Systems Software",17130,108570,52.20
IL,Web Developers,5180,74420,35.78
IL,Database Administrators,3570,96230,46.26
IL,Network and Computer Systems Administrators,11640,86290,41.49
IL,Computer Network Architects,5310,114780,55.18
IL,Computer User Support Specialists,24920,53020,25.49
IL,Computer Network Support Specialists,9940,65830,31.65
IL,"Computer Occupations, All Other",16590,,
IL,Actuaries,1950,110430,53.09
IL,Mathematicians,50,103220,49.62
IL,Operations Research Analysts,5100,96630,46.46
IL,Statisticians,1820,89040,42.81
IL,Miscellaneous Mathematical Science Occupations,50,,
IL,Architecture and Engineering Occupations,88180,83730,40.26
IL,"Architects, Except Landscape and Naval",5560,79520,38.23
IL,Landscape Architects,370,71760,34.50
IL,Cartographers and Photogrammetrists,130,77070,37.05
IL,Surveyors,1340,72540,34.88
IL,Aerospace Engineers,,108520,52.17
IL,Agricultural Engineers,70,86690,41.68
IL,Biomedical Engineers,1500,98420,47.32
IL,Chemical Engineers,880,94830,45.59
IL,Civil Engineers,10970,94570,45.47
IL,Computer Hardware Engineers,970,101630,48.86
IL,Electrical Engineers,4860,94700,45.53
IL,"Electronics Engineers, Except Computer",2800,98010,47.12
IL,Environmental Engineers,1410,92200,44.33
IL,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",570,88320,42.46
IL,Industrial Engineers,9760,88850,42.72
IL,Materials Engineers,800,84310,40.54
IL,Mechanical Engineers,17320,92030,44.24
IL,"Mining and Geological Engineers, Including Mining Safety Engineers",90,92530,44.49
IL,Nuclear Engineers,610,117710,56.59
IL,Petroleum Engineers,200,131510,63.23
IL,"Engineers, All Other",4000,87220,41.93
IL,Architectural and Civil Drafters,2320,64720,31.12
IL,Electrical and Electronics Drafters,630,68930,33.14
IL,Mechanical Drafters,2770,56210,27.03
IL,"Drafters, All Other",170,56940,27.38
IL,Aerospace Engineering and Operations Technicians,60,58500,28.13
IL,Civil Engineering Technicians,1710,63170,30.37
IL,Electrical and Electronics Engineering Technicians,3270,67390,32.40
IL,Electro-Mechanical Technicians,340,65260,31.38
IL,Environmental Engineering Technicians,520,53270,25.61
IL,Industrial Engineering Technicians,1790,55700,26.78
IL,Mechanical Engineering Technicians,2090,60940,29.30
IL,"Engineering Technicians, Except Drafters, All Other",6320,63760,30.66
IL,Surveying and Mapping Technicians,950,55410,26.64
IL,"Life, Physical, and Social Science Occupations",36690,70810,34.05
IL,Animal Scientists,80,54610,26.26
IL,Food Scientists and Technologists,760,89700,43.13
IL,Soil and Plant Scientists,350,58950,28.34
IL,Biochemists and Biophysicists,690,111760,53.73
IL,Microbiologists,860,62830,30.21
IL,Zoologists and Wildlife Biologists,240,57920,27.85
IL,"Biological Scientists, All Other",590,84180,40.47
IL,Conservation Scientists,630,63840,30.69
IL,Foresters,150,68570,32.96
IL,Epidemiologists,210,84810,40.78
IL,"Medical Scientists, Except Epidemiologists",3510,87660,42.15
IL,"Life Scientists, All Other",140,90030,43.28
IL,Physicists,810,114320,54.96
IL,Atmospheric and Space Scientists,180,71400,34.33
IL,Chemists,2870,74770,35.95
IL,Materials Scientists,310,94920,45.64
IL,"Environmental Scientists and Specialists, Including Health",1690,78640,37.81
IL,"Geoscientists, Except Hydrologists and Geographers",350,69480,33.40
IL,Hydrologists,70,82150,39.50
IL,"Physical Scientists, All Other",550,97720,46.98
IL,Economists,380,108690,52.26
IL,Survey Researchers,1590,57560,27.67
IL,"Clinical, Counseling, and School Psychologists",4700,75180,36.14
IL,"Psychologists, All Other",260,87410,42.03
IL,Sociologists,350,86280,41.48
IL,Urban and Regional Planners,730,74420,35.78
IL,Anthropologists and Archeologists,110,62650,30.12
IL,Historians,70,64050,30.79
IL,Political Scientists,50,80520,38.71
IL,"Social Scientists and Related Workers, All Other",650,78140,37.57
IL,Agricultural and Food Science Technicians,690,41750,20.07
IL,Biological Technicians,1830,53450,25.70
IL,Chemical Technicians,2610,53000,25.48
IL,Geological and Petroleum Technicians,70,39500,18.99
IL,Nuclear Technicians,960,84810,40.78
IL,Social Science Research Assistants,1030,49570,23.83
IL,"Environmental Science and Protection Technicians, Including Health",1000,45840,22.04
IL,Forensic Science Technicians,450,87660,42.14
IL,Forest and Conservation Technicians,590,46650,22.43
IL,"Life, Physical, and Social Science Technicians, All Other",3480,51130,24.58
IL,Community and Social Service Occupations,84550,48670,23.40
IL,"Educational, Guidance, School, and Vocational Counselors",12620,56540,27.18
IL,Marriage and Family Therapists,440,47200,22.69
IL,Rehabilitation Counselors,3670,40260,19.35
IL,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",11640,44250,21.28
IL,"Counselors, All Other",2040,37010,17.79
IL,"Child, Family, and School Social Workers",13910,56100,26.97
IL,Healthcare Social Workers,5750,52830,25.40
IL,Mental Health and Substance Abuse Social Workers,3570,46540,22.38
IL,"Social Workers, All Other",4990,61640,29.63
IL,Health Educators,1880,58610,28.18
IL,Probation Officers and Correctional Treatment Specialists,2840,67910,32.65
IL,Social and Human Service Assistants,13080,32910,15.82
IL,Community Health Workers,1270,42250,20.31
IL,"Community and Social Service Specialists, All Other",2990,38900,18.70
IL,Clergy,1920,51190,24.61
IL,"Directors, Religious Activities and Education",1650,43930,21.12
IL,"Religious Workers, All Other",300,36610,17.60
IL,Legal Occupations,49630,120850,58.10
IL,Lawyers,31260,152980,73.55
IL,Judicial Law Clerks,330,70490,33.89
IL,"Administrative Law Judges, Adjudicators, and Hearing Officers",550,95120,45.73
IL,"Arbitrators, Mediators, and Conciliators",310,90020,43.28
IL,"Judges, Magistrate Judges, and Magistrates",1070,,
IL,Paralegals and Legal Assistants,13540,57180,27.49
IL,Court Reporters,700,68560,32.96
IL,"Title Examiners, Abstractors, and Searchers",1070,47670,22.92
IL,"Legal Support Workers, All Other",810,61910,29.76
IL,"Education, Training, and Library Occupations",375430,55570,26.72
IL,"Business Teachers, Postsecondary",4030,107910,
IL,"Computer Science Teachers, Postsecondary",1430,83270,
IL,"Mathematical Science Teachers, Postsecondary",2480,66600,
IL,"Architecture Teachers, Postsecondary",160,82160,
IL,"Engineering Teachers, Postsecondary",1330,114010,
IL,"Agricultural Sciences Teachers, Postsecondary",380,88640,
IL,"Biological Science Teachers, Postsecondary",2530,78400,
IL,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",320,80660,
IL,"Chemistry Teachers, Postsecondary",1030,87070,
IL,"Environmental Science Teachers, Postsecondary",130,90820,
IL,"Physics Teachers, Postsecondary",640,92130,
IL,"Anthropology and Archeology Teachers, Postsecondary",290,88770,
IL,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",450,74010,
IL,"Economics Teachers, Postsecondary",520,128340,
IL,"Geography Teachers, Postsecondary",150,82080,
IL,"Political Science Teachers, Postsecondary",540,89860,
IL,"Psychology Teachers, Postsecondary",1510,87880,
IL,"Sociology Teachers, Postsecondary",610,78290,
IL,"Social Sciences Teachers, Postsecondary, All Other",1250,54050,
IL,"Health Specialties Teachers, Postsecondary",10070,105140,
IL,"Nursing Instructors and Teachers, Postsecondary",1810,69310,
IL,"Education Teachers, Postsecondary",4510,62280,
IL,"Library Science Teachers, Postsecondary",390,69760,
IL,"Criminal Justice and Law Enforcement Teachers, Postsecondary",600,62280,
IL,"Law Teachers, Postsecondary",950,152110,
IL,"Social Work Teachers, Postsecondary",840,58350,
IL,"Art, Drama, and Music Teachers, Postsecondary",3940,68360,
IL,"Communications Teachers, Postsecondary",1810,78810,
IL,Surgical Technologists,3270,49730,23.91
IL,"English Language and Literature Teachers, Postsecondary",3120,65860,
IL,"Foreign Language and Literature Teachers, Postsecondary",870,70480,
IL,"History Teachers, Postsecondary",780,85090,
IL,"Philosophy and Religion Teachers, Postsecondary",960,81200,
IL,Graduate Teaching Assistants,3070,43670,
IL,"Home Economics Teachers, Postsecondary",50,86780,
IL,"Recreation and Fitness Studies Teachers, Postsecondary",580,61840,
IL,"Vocational Education Teachers, Postsecondary",4880,56840,27.33
IL,"Postsecondary Teachers, All Other",3040,66970,
IL,"Preschool Teachers, Except Special Education",24120,31500,15.14
IL,"Kindergarten Teachers, Except Special Education",4630,55660,
IL,"Elementary School Teachers, Except Special Education",65630,62140,
IL,"Middle School Teachers, Except Special and Career/Technical Education",22320,63860,
IL,"Career/Technical Education Teachers, Middle School",220,69420,
IL,"Secondary School Teachers, Except Special and Career/Technical Education",43720,72370,
IL,"Career/Technical Education Teachers, Secondary School",1970,66840,
IL,"Special Education Teachers, Preschool",960,57280,
IL,"Special Education Teachers, Kindergarten and Elementary School",9670,63740,
IL,"Special Education Teachers, Middle School",3420,63330,
IL,"Special Education Teachers, Secondary School",8440,69840,
IL,"Special Education Teachers, All Other",880,54120,
IL,Adult Basic and Secondary Education and Literacy Teachers and Instructors,2340,55750,26.80
IL,Self-Enrichment Education Teachers,12370,40180,19.32
IL,"Teachers and Instructors, All Other, Except Substitute Teachers",9840,43810,
IL,Substitute Teachers,23740,35950,17.28
IL,Archivists,170,63200,30.38
IL,Curators,380,56420,27.13
IL,Museum Technicians and Conservators,940,45210,21.73
IL,Librarians,6040,57680,27.73
IL,Library Technicians,5270,36190,17.40
IL,Audio-Visual and Multimedia Collections Specialists,220,54900,26.40
IL,Farm and Home Management Advisors,190,37960,18.25
IL,Instructional Coordinators,4830,67540,32.47
IL,Teacher Assistants,60630,27710,
IL,"Education, Training, and Library Workers, All Other",450,40200,19.33
IL,"Arts, Design, Entertainment, Sports, and Media Occupations",74740,53730,25.83
IL,Art Directors,2080,99800,47.98
IL,Craft Artists,,53800,25.86
IL,"Fine Artists, Including Painters, Sculptors, and Illustrators",260,46870,22.53
IL,Multimedia Artists and Animators,770,61440,29.54
IL,"Artists and Related Workers, All Other",,63540,30.55
IL,Commercial and Industrial Designers,1410,67550,32.48
IL,Floral Designers,1890,26050,12.53
IL,Graphic Designers,11700,56890,27.35
IL,Interior Designers,2250,52150,25.07
IL,Merchandise Displayers and Window Trimmers,5020,32340,15.55
IL,Set and Exhibit Designers,340,51370,24.70
IL,"Designers, All Other",260,70870,34.07
IL,Actors,3180,,26.14
IL,Producers and Directors,2950,77960,37.48
IL,Athletes and Sports Competitors,540,,
IL,Coaches and Scouts,10670,38760,
IL,"Umpires, Referees, and Other Sports Officials",1230,34860,
IL,Dancers,270,,18.98
IL,Choreographers,80,35490,17.06
IL,Music Directors and Composers,370,40220,19.34
IL,Musicians and Singers,1630,,34.81
IL,"Entertainers and Performers, Sports and Related Workers, All Other",90,,26.18
IL,Radio and Television Announcers,920,52020,25.01
IL,Public Address System and Other Announcers,410,29430,14.15
IL,Broadcast News Analysts,260,76260,36.66
IL,Reporters and Correspondents,1260,53610,25.77
IL,Public Relations Specialists,7360,66220,31.84
IL,Editors,3830,62590,30.09
IL,Technical Writers,1460,69320,33.32
IL,Writers and Authors,1880,68710,33.04
IL,Interpreters and Translators,1970,46320,22.27
IL,"Media and Communication Workers, All Other",110,59170,28.45
IL,Audio and Video Equipment Technicians,2740,43590,20.96
IL,Broadcast Technicians,1300,50140,24.11
IL,Radio Operators,50,,
IL,Sound Engineering Technicians,220,60500,29.09
IL,Photographers,2600,36290,17.45
IL,"Camera Operators, Television, Video, and Motion Picture",520,45340,21.80
IL,Film and Video Editors,300,64820,31.16
IL,"Media and Communication Equipment Workers, All Other",130,81960,39.40
IL,Healthcare Practitioners and Technical Occupations,354250,79660,38.30
IL,Chiropractors,1610,90620,43.57
IL,"Dentists, General",4820,171590,82.49
IL,Orthodontists,,199050,95.70
IA,Anesthesiologists,330,,
IL,"Dentists, All Other Specialists",130,127280,61.19
IL,Dietitians and Nutritionists,2590,58020,27.89
IL,Optometrists,2300,121610,58.47
IL,Pharmacists,12260,125360,60.27
IL,Anesthesiologists,,261300,125.62
IL,Family and General Practitioners,7970,213340,102.57
IL,"Internists, General",1870,195610,94.04
IL,Obstetricians and Gynecologists,580,201940,97.09
IL,"Pediatricians, General",680,147250,70.80
IL,Psychiatrists,920,251390,120.86
IL,Surgeons,1290,243350,117.00
IL,"Physicians and Surgeons, All Other",9940,183780,88.36
IL,Physician Assistants,2670,108260,52.05
IL,Podiatrists,570,180270,86.67
IL,Occupational Therapists,5230,83940,40.35
IL,Physical Therapists,10750,90690,43.60
IL,Radiation Therapists,670,86200,41.44
IL,Recreational Therapists,950,46620,22.42
IL,Respiratory Therapists,4150,60500,29.08
IL,Speech-Language Pathologists,6820,77120,37.08
IL,Exercise Physiologists,410,55150,26.51
IL,"Therapists, All Other",,55150,26.52
IL,Veterinarians,2500,108280,52.06
IL,Registered Nurses,129400,73890,35.53
IL,Nurse Anesthetists,1510,190500,91.59
IL,Nurse Midwives,200,105640,50.79
IL,Nurse Practitioners,5540,105800,50.86
IL,Audiologists,520,86990,41.82
IL,"Health Diagnosing and Treating Practitioners, All Other",2230,67600,32.50
IL,Clinical Laboratory Technologists and Technicians,11760,54450,26.18
IL,Dental Hygienists,9450,72640,34.92
IL,Cardiovascular Technologists and Technicians,2470,60500,29.09
IL,Diagnostic Medical Sonographers,2930,76700,36.88
IL,Nuclear Medicine Technologists,740,84200,40.48
IL,Radiologic Technologists,7900,64690,31.10
IL,Magnetic Resonance Imaging Technologists,1930,74010,35.58
IL,Emergency Medical Technicians and Paramedics,10790,41940,20.16
IL,Dietetic Technicians,4440,25770,12.39
IL,Pharmacy Technicians,21490,33140,15.93
IL,Psychiatric Technicians,3920,44400,21.35
IL,Respiratory Therapy Technicians,650,56340,27.09
IL,Veterinary Technologists and Technicians,3810,36750,17.67
IL,Ophthalmic Medical Technicians,1780,38180,18.36
IL,Licensed Practical and Licensed Vocational Nurses,20340,51080,24.56
IL,Medical Records and Health Information Technicians,8250,45800,22.02
IL,"Opticians, Dispensing",2840,37360,17.96
IL,Orthotists and Prosthetists,530,81090,38.99
IL,Hearing Aid Specialists,250,45450,21.85
IL,"Health Technologists and Technicians, All Other",5990,47590,22.88
IL,Occupational Health and Safety Specialists,2300,76390,36.73
