st,occupation,tot_emp,hr_mean,avg_mean
AK,Avionics Technicians,100,34.17,"71,070"
AK,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",190,38.58,"80,250"
AK,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",90,43.10,"89,650"
AK,"Electronic Equipment Installers and Repairers, Motor Vehicles",**,17.84,"37,110"
AK,Electronic Home Entertainment Equipment Installers and Repairers,**,21.56,"44,840"
AK,Security and Fire Alarm Systems Installers,110,30.65,"63,750"
AK,Aircraft Mechanics and Service Technicians,"1,610",32.40,"67,400"
AK,Automotive Body and Related Repairers,270,29.54,"61,440"
AK,Automotive Glass Installers and Repairers,110,17.30,"35,970"
AK,Automotive Service Technicians and Mechanics,"1,740",26.88,"55,910"
AK,Bus and Truck Mechanics and Diesel Engine Specialists,680,31.87,"66,280"
AK,"Mobile Heavy Equipment Mechanics, Except Engines","1,070",33.16,"68,980"
AK,Rail Car Repairers,170,32.88,"68,390"
AK,Motorboat Mechanics and Service Technicians,180,20.21,"42,030"
AK,Outdoor Power Equipment and Other Small Engine Mechanics,40,20.92,"43,510"
AK,Tire Repairers and Changers,410,15.79,"32,840"
AK,Mechanical Door Repairers,**,31.95,"66,460"
AK,"Control and Valve Installers and Repairers, Except Mechanical Door",100,32.53,"67,660"
AK,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",300,31.87,"66,290"
AK,Home Appliance Repairers,60,24.82,"51,620"
AK,Industrial Machinery Mechanics,570,27.76,"57,750"
AK,"Maintenance Workers, Machinery",310,26.36,"54,840"
AK,Millwrights,340,29.47,"61,300"
AK,Electrical Power-Line Installers and Repairers,390,42.33,"88,050"
AK,Telecommunications Line Installers and Repairers,350,33.72,"70,140"
AK,Medical Equipment Repairers,30,38.02,"79,090"
AK,"Precision Instrument and Equipment Repairers, All Other",60,32.89,"68,400"
AK,"Maintenance and Repair Workers, General","4,390",24.33,"50,610"
AK,Commercial Divers,150,41.64,"86,600"
AK,Locksmiths and Safe Repairers,30,32.82,"68,260"
AK,Riggers,40,31.46,"65,430"
AK,"Helpers--Installation, Maintenance, and Repair Workers",370,16.80,"34,940"
AK,"Installation, Maintenance, and Repair Workers, All Other",550,34.24,"71,220"
AK,Production Occupations,"10,120",22.49,"46,790"
AK,First-Line Supervisors of Production and Operating Workers,830,32.04,"66,650"
AK,Structural Metal Fabricators and Fitters,60,25.50,"53,050"
AK,"Assemblers and Fabricators, All Other, Including Team Assemblers",200,19.41,"40,370"
AK,Bakers,250,16.33,"33,970"
AK,Butchers and Meat Cutters,240,22.19,"46,160"
AK,"Meat, Poultry, and Fish Cutters and Trimmers","2,550",12.25,"25,470"
AK,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",60,13.51,"28,090"
AK,Food Batchmakers,200,16.19,"33,680"
AK,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",40,18.43,"38,340"
AK,Machinists,160,30.88,"64,220"
AK,"Welders, Cutters, Solderers, and Brazers",510,32.37,"67,330"
AK,Printing Press Operators,160,23.14,"48,140"
AK,Laundry and Dry-Cleaning Workers,410,14.59,"30,340"
AK,"Pressers, Textile, Garment, and Related Materials",**,14.13,"29,390"
AK,Sewing Machine Operators,40,18.40,"38,270"
AK,"Tailors, Dressmakers, and Custom Sewers",**,17.27,"35,930"
AK,Cabinetmakers and Bench Carpenters,60,22.25,"46,270"
AK,"Sawing Machine Setters, Operators, and Tenders, Wood",**,17.04,"35,430"
AK,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",60,17.62,"36,660"
AK,Power Distributors and Dispatchers,60,46.84,"97,430"
AK,Power Plant Operators,520,30.44,"63,310"
AK,Stationary Engineers and Boiler Operators,100,33.23,"69,120"
AK,Water and Wastewater Treatment Plant and System Operators,570,30.36,"63,160"
AK,Gas Plant Operators,70,30.50,"63,430"
AK,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",540,37.89,"78,810"
AK,"Plant and System Operators, All Other",110,31.42,"65,360"
AK,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",120,18.39,"38,240"
AK,"Inspectors, Testers, Sorters, Samplers, and Weighers",370,34.38,"71,510"
AK,Jewelers and Precious Stone and Metal Workers,**,16.11,"33,520"
AK,Dental Laboratory Technicians,40,27.86,"57,940"
AK,Medical Appliance Technicians,60,24.19,"50,320"
AK,Packaging and Filling Machine Operators and Tenders,380,12.93,"26,890"
AK,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",30,22.81,"47,450"
AK,"Painters, Transportation Equipment",50,26.58,"55,280"
AK,Helpers--Production Workers,310,15.34,"31,900"
AK,"Production Workers, All Other",230,26.98,"56,120"
AK,Transportation and Material Moving Occupations,"22,570",28.52,"59,320"
AK,Aircraft Cargo Handling Supervisors,130,25.69,"53,420"
AK,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",790,35.37,"73,570"
AK,"Airline Pilots, Copilots, and Flight Engineers","1,950",*,"148,820"
AK,Commercial Pilots,690,*,"91,850"
AK,Air Traffic Controllers,**,53.97,"112,260"
AK,Airfield Operations Specialists,110,34.27,"71,290"
AK,"Bus Drivers, Transit and Intercity",370,27.23,"56,630"
AK,"Bus Drivers, School or Special Client","1,110",21.12,"43,930"
AK,Driver/Sales Workers,530,15.44,"32,120"
AK,Heavy and Tractor-Trailer Truck Drivers,"2,380",27.71,"57,630"
AK,Light Truck or Delivery Services Drivers,"1,840",21.52,"44,750"
AK,Taxi Drivers and Chauffeurs,460,13.72,"28,540"
AK,"Motor Vehicle Operators, All Other",110,28.86,"60,020"
AK,Sailors and Marine Oilers,750,20.73,"43,120"
AK,"Captains, Mates, and Pilots of Water Vessels",640,34.89,"72,570"
AK,Ship Engineers,350,30.59,"63,620"
AK,Parking Lot Attendants,70,12.89,"26,810"
AK,Automotive and Watercraft Service Attendants,**,15.40,"32,020"
AK,Transportation Inspectors,210,50.89,"105,850"
AK,"Transportation Attendants, Except Flight Attendants",240,20.75,"43,160"
AK,"Transportation Workers, All Other",980,21.62,"44,960"
AK,Crane and Tower Operators,50,37.15,"77,270"
AK,Excavating and Loading Machine and Dragline Operators,170,35.28,"73,380"
AK,Industrial Truck and Tractor Operators,450,25.76,"53,580"
AK,Cleaners of Vehicles and Equipment,610,14.26,"29,670"
AK,"Laborers and Freight, Stock, and Material Movers, Hand","4,070",18.73,"38,950"
AK,"Packers and Packagers, Hand",560,17.25,"35,870"
AK,"Pump Operators, Except Wellhead Pumpers",180,25.48,"52,990"
AK,Refuse and Recyclable Material Collectors,220,23.08,"48,000"
AK,"Tank Car, Truck, and Ship Loaders",70,15.70,"32,650"
AK,"Material Moving Workers, All Other",410,*,*
AZ,All Occupations,"2,789,520",23.70,"49,290"
AZ,Management Occupations,"168,480",50.45,"104,940"
AZ,Chief Executives,"6,630",93.44,"194,360"
AZ,General and Operations Managers,"50,540",49.26,"102,470"
AZ,Legislators,620,*,"56,530"
AZ,Advertising and Promotions Managers,**,40.24,"83,700"
AZ,Marketing Managers,"6,150",56.59,"117,700"
AZ,Sales Managers,"10,710",54.53,"113,430"
AZ,Public Relations and Fundraising Managers,"1,350",50.06,"104,120"
AZ,Administrative Services Managers,"8,200",43.25,"89,950"
AZ,Computer and Information Systems Managers,"7,090",66.07,"137,420"
AZ,Financial Managers,"11,400",56.55,"117,620"
AZ,Industrial Production Managers,"2,910",48.10,"100,050"
AZ,Purchasing Managers,"1,390",50.86,"105,780"
AZ,"Transportation, Storage, and Distribution Managers","2,760",40.73,"84,730"
AZ,Compensation and Benefits Managers,260,50.95,"105,980"
AZ,Human Resources Managers,"3,060",48.99,"101,910"
AZ,Training and Development Managers,"1,030",47.94,"99,720"
AZ,"Farmers, Ranchers, and Other Agricultural Managers",120,36.47,"75,870"
AZ,Construction Managers,"6,970",44.48,"92,520"
AZ,"Education Administrators, Preschool and Childcare Center/Program","1,070",19.67,"40,900"
AZ,"Education Administrators, Elementary and Secondary School","5,340",*,"78,610"
AZ,"Education Administrators, Postsecondary","3,750",47.51,"98,810"
AZ,"Education Administrators, All Other",850,48.22,"100,300"
AZ,Architectural and Engineering Managers,"3,490",64.36,"133,860"
AZ,Food Service Managers,"5,120",28.19,"58,640"
AZ,Funeral Service Managers,100,37.31,"77,600"
AZ,Lodging Managers,780,29.73,"61,830"
AZ,Medical and Health Services Managers,"8,160",55.66,"115,770"
AZ,Natural Sciences Managers,"1,060",48.94,"101,790"
AZ,Postmasters and Mail Superintendents,150,38.30,"79,670"
AZ,"Property, Real Estate, and Community Association Managers","5,680",31.68,"65,890"
AZ,Social and Community Service Managers,"2,290",31.54,"65,610"
AZ,Emergency Management Directors,170,*,*
AZ,"Managers, All Other","8,520",48.86,"101,630"
AZ,Business and Financial Operations Occupations,"149,110",32.59,"67,780"
AZ,"Agents and Business Managers of Artists, Performers, and Athletes",110,28.11,"58,470"
AZ,Buyers and Purchasing Agents,"6,790",31.60,"65,720"
AZ,"Claims Adjusters, Examiners, and Investigators","9,860",32.38,"67,340"
AZ,"Insurance Appraisers, Auto Damage",740,28.62,"59,530"
AZ,Compliance Officers,"7,910",30.93,"64,340"
AZ,Cost Estimators,"4,630",31.93,"66,410"
AZ,Human Resources Specialists,"10,750",29.24,"60,820"
AZ,Labor Relations Specialists,510,34.33,"71,400"
AZ,Logisticians,"2,600",35.95,"74,780"
AZ,Management Analysts,"10,830",41.29,"85,890"
AZ,"Meeting, Convention, and Event Planners","1,590",21.23,"44,160"
AZ,Fundraisers,"1,080",24.00,"49,920"
AZ,"Compensation, Benefits, and Job Analysis Specialists","2,090",29.02,"60,350"
AZ,Training and Development Specialists,"8,750",29.55,"61,460"
AZ,Market Research Analysts and Marketing Specialists,"12,700",30.25,"62,930"
AZ,"Business Operations Specialists, All Other","16,250",32.53,"67,670"
AZ,Accountants and Auditors,"20,030",33.26,"69,190"
AZ,Appraisers and Assessors of Real Estate,"1,100",23.72,"49,330"
AZ,Budget Analysts,"1,110",34.58,"71,930"
AZ,Credit Analysts,"1,710",30.63,"63,710"
AZ,Financial Analysts,"5,330",37.81,"78,650"
AZ,Personal Financial Advisors,"3,560",51.52,"107,160"
AZ,Insurance Underwriters,"1,570",35.24,"73,290"
AZ,Financial Examiners,"1,420",29.67,"61,710"
AZ,Credit Counselors,"2,220",22.06,"45,880"
AZ,Loan Officers,"8,970",30.02,"62,430"
AZ,"Tax Examiners and Collectors, and Revenue Agents",370,36.34,"75,590"
AZ,Tax Preparers,"1,550",18.88,"39,270"
AZ,"Financial Specialists, All Other","2,980",39.52,"82,200"
AZ,Computer and Mathematical Occupations,"94,060",39.97,"83,140"
AZ,Computer and Information Research Scientists,300,53.61,"111,510"
AZ,Computer Systems Analysts,"11,570",42.78,"88,970"
AZ,Information Security Analysts,"2,570",45.17,"93,960"
AZ,Computer Programmers,"3,320",46.10,"95,900"
AZ,"Software Developers, Applications","14,130",47.44,"98,670"
AZ,"Software Developers, Systems Software","11,500",49.93,"103,860"
AZ,Web Developers,"2,440",33.87,"70,450"
AZ,Database Administrators,"1,930",42.63,"88,670"
AZ,Network and Computer Systems Administrators,"7,330",41.27,"85,850"
AZ,Computer Network Architects,"2,550",48.92,"101,750"
AZ,Computer User Support Specialists,"16,700",25.04,"52,090"
AZ,Computer Network Support Specialists,"5,860",29.11,"60,550"
AZ,"Computer Occupations, All Other","9,150",40.87,"85,010"
AZ,Actuaries,170,*,*
AZ,Operations Research Analysts,"3,450",36.90,"76,760"
AZ,Statisticians,"1,080",38.62,"80,330"
AZ,Architecture and Engineering Occupations,"52,050",41.02,"85,330"
AZ,"Architects, Except Landscape and Naval","1,160",45.78,"95,220"
AZ,Landscape Architects,610,32.94,"68,520"
AZ,Cartographers and Photogrammetrists,220,32.13,"66,830"
AZ,Surveyors,"1,000",29.83,"62,050"
AZ,Aerospace Engineers,"2,230",51.55,"107,230"
AZ,Biomedical Engineers,**,49.83,"103,650"
AZ,Chemical Engineers,100,47.88,"99,580"
AZ,Civil Engineers,"4,540",40.76,"84,770"
AZ,Computer Hardware Engineers,"1,540",53.17,"110,600"
AZ,Electrical Engineers,"4,840",51.09,"106,260"
AZ,"Electronics Engineers, Except Computer","5,020",49.76,"103,510"
AZ,Environmental Engineers,890,38.62,"80,330"
AZ,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",650,35.86,"74,580"
AZ,Industrial Engineers,"4,220",46.13,"95,940"
AZ,Materials Engineers,"1,080",43.28,"90,020"
AZ,Mechanical Engineers,"4,770",47.30,"98,390"
AZ,"Mining and Geological Engineers, Including Mining Safety Engineers",410,39.02,"81,150"
AZ,Petroleum Engineers,**,66.26,"137,830"
AZ,"Engineers, All Other","2,160",45.41,"94,450"
AZ,Architectural and Civil Drafters,"2,110",28.22,"58,700"
AZ,Electrical and Electronics Drafters,650,30.67,"63,790"
AZ,Mechanical Drafters,900,31.27,"65,040"
AZ,"Drafters, All Other",320,25.79,"53,630"
AZ,Aerospace Engineering and Operations Technicians,750,34.38,"71,500"
AZ,Civil Engineering Technicians,960,26.90,"55,960"
AZ,Electrical and Electronics Engineering Technicians,"3,190",30.55,"63,550"
AZ,Electro-Mechanical Technicians,350,28.34,"58,940"
AZ,Environmental Engineering Technicians,260,23.17,"48,190"
AZ,Industrial Engineering Technicians,"2,300",30.54,"63,510"
AZ,Mechanical Engineering Technicians,850,27.70,"57,620"
AZ,"Engineering Technicians, Except Drafters, All Other","2,300",28.47,"59,210"
AZ,Surveying and Mapping Technicians,"1,010",25.83,"53,730"
AZ,"Life, Physical, and Social Science Occupations","19,950",30.84,"64,150"
AZ,Food Scientists and Technologists,130,31.30,"65,100"
AZ,Soil and Plant Scientists,210,35.78,"74,420"
AZ,Biochemists and Biophysicists,30,46.45,"96,610"
AZ,Microbiologists,80,36.52,"75,970"
AZ,Zoologists and Wildlife Biologists,340,30.27,"62,950"
AZ,"Biological Scientists, All Other",570,40.23,"83,680"
AZ,Conservation Scientists,270,34.22,"71,190"
AZ,Epidemiologists,120,28.68,"59,650"
AZ,"Medical Scientists, Except Epidemiologists","1,500",48.00,"99,840"
AZ,"Life Scientists, All Other",**,36.04,"74,960"
AZ,Astronomers,230,50.05,"104,100"
AZ,Physicists,50,64.61,"134,390"
AZ,Atmospheric and Space Scientists,120,45.13,"93,870"
AZ,Chemists,530,34.66,"72,090"
AZ,Materials Scientists,60,44.17,"91,870"
AZ,"Environmental Scientists and Specialists, Including Health","1,420",34.69,"72,150"
AZ,"Geoscientists, Except Hydrologists and Geographers",420,37.33,"77,650"
AZ,Hydrologists,220,34.80,"72,380"
AZ,"Physical Scientists, All Other",70,42.25,"87,870"
AZ,Economists,150,44.88,"93,350"
AZ,Survey Researchers,210,25.80,"53,660"
AZ,"Clinical, Counseling, and School Psychologists","2,530",31.75,"66,040"
AZ,"Psychologists, All Other",170,42.12,"87,600"
AZ,Urban and Regional Planners,670,34.07,"70,860"
AZ,Anthropologists and Archeologists,480,31.08,"64,660"
AZ,Geographers,30,33.52,"69,730"
AZ,"Social Scientists and Related Workers, All Other",470,40.30,"83,830"
AZ,Agricultural and Food Science Technicians,270,20.19,"42,000"
AZ,Biological Technicians,"1,090",17.64,"36,700"
AZ,Chemical Technicians,890,23.01,"47,850"
AZ,Geological and Petroleum Technicians,370,21.80,"45,350"
AZ,Social Science Research Assistants,"2,010",26.43,"54,960"
AZ,"Environmental Science and Protection Technicians, Including Health",640,20.93,"43,540"
AZ,Forensic Science Technicians,700,29.28,"60,900"
AZ,Forest and Conservation Technicians,"1,320",18.40,"38,270"
AZ,"Life, Physical, and Social Science Technicians, All Other","1,200",24.64,"51,250"
AZ,Community and Social Service Occupations,"42,850",21.70,"45,140"
AZ,"Educational, Guidance, School, and Vocational Counselors","7,870",25.95,"53,980"
AZ,Marriage and Family Therapists,"1,410",23.26,"48,390"
AZ,Rehabilitation Counselors,"1,790",16.29,"33,870"
AZ,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","5,070",20.34,"42,310"
AZ,"Counselors, All Other",370,22.60,"47,000"
AZ,"Child, Family, and School Social Workers","5,780",18.76,"39,020"
AZ,Healthcare Social Workers,"2,420",30.25,"62,920"
AZ,Mental Health and Substance Abuse Social Workers,"2,700",18.94,"39,390"
AZ,"Social Workers, All Other","1,220",29.39,"61,130"
AZ,Health Educators,"1,620",25.78,"53,630"
AZ,Probation Officers and Correctional Treatment Specialists,"2,320",26.28,"54,670"
AZ,Social and Human Service Assistants,"7,560",16.44,"34,190"
AZ,Community Health Workers,"1,030",19.28,"40,090"
AZ,"Community and Social Service Specialists, All Other",930,19.03,"39,580"
AZ,Clergy,540,25.62,"53,290"
AZ,"Directors, Religious Activities and Education",120,26.37,"54,840"
AZ,"Religious Workers, All Other",80,19.57,"40,700"
AZ,Legal Occupations,"20,320",46.45,"96,620"
AZ,Lawyers,"9,370",70.07,"145,750"
AZ,"Administrative Law Judges, Adjudicators, and Hearing Officers",290,44.37,"92,300"
AZ,"Arbitrators, Mediators, and Conciliators",180,29.55,"61,450"
AZ,"Judges, Magistrate Judges, and Magistrates",790,51.96,"108,080"
AZ,Paralegals and Legal Assistants,"7,280",23.26,"48,370"
AZ,Court Reporters,150,29.10,"60,530"
AZ,"Title Examiners, Abstractors, and Searchers",840,25.89,"53,850"
AZ,"Legal Support Workers, All Other",690,27.99,"58,220"
AZ,"Education, Training, and Library Occupations","141,430",22.96,"47,770"
AZ,"Business Teachers, Postsecondary","1,070",*,"100,200"
AZ,"Computer Science Teachers, Postsecondary",510,*,"98,630"
AZ,"Mathematical Science Teachers, Postsecondary","1,080",*,"85,340"
AZ,"Architecture Teachers, Postsecondary",90,*,*
AZ,"Engineering Teachers, Postsecondary",420,*,"107,660"
AZ,"Agricultural Sciences Teachers, Postsecondary",60,*,"76,160"
AZ,"Biological Science Teachers, Postsecondary",800,*,"99,960"
AZ,"Forestry and Conservation Science Teachers, Postsecondary",**,*,"101,760"
AZ,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",680,*,"100,900"
AZ,"Chemistry Teachers, Postsecondary",210,*,"89,380"
AZ,"Environmental Science Teachers, Postsecondary",60,*,*
AZ,"Physics Teachers, Postsecondary",230,*,"105,480"
AZ,"Anthropology and Archeology Teachers, Postsecondary",110,*,"76,880"
AZ,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",260,*,"75,240"
AZ,"Economics Teachers, Postsecondary",80,*,*
AZ,"Geography Teachers, Postsecondary",60,*,"104,400"
AZ,"Political Science Teachers, Postsecondary",120,*,"81,700"
AZ,"Psychology Teachers, Postsecondary",490,*,*
AZ,"Sociology Teachers, Postsecondary",90,*,"92,790"
AZ,"Social Sciences Teachers, Postsecondary, All Other",140,*,*
AZ,"Health Specialties Teachers, Postsecondary","3,660",*,"133,640"
AZ,"Nursing Instructors and Teachers, Postsecondary",840,*,"81,110"
AZ,"Education Teachers, Postsecondary","1,060",*,"79,120"
AZ,"Criminal Justice and Law Enforcement Teachers, Postsecondary",120,*,"62,550"
AZ,"Law Teachers, Postsecondary",170,*,"96,440"
AZ,"Art, Drama, and Music Teachers, Postsecondary","1,770",*,"83,730"
AZ,"Communications Teachers, Postsecondary",400,*,*
AZ,"English Language and Literature Teachers, Postsecondary",900,*,"76,610"
AZ,"Foreign Language and Literature Teachers, Postsecondary",440,*,"69,820"
AZ,"History Teachers, Postsecondary",130,*,"84,060"
AZ,"Philosophy and Religion Teachers, Postsecondary",170,*,"84,050"
AZ,"Home Economics Teachers, Postsecondary",80,*,"71,140"
AZ,"Recreation and Fitness Studies Teachers, Postsecondary",420,*,*
AZ,"Vocational Education Teachers, Postsecondary","3,050",28.32,"58,900"
AZ,"Postsecondary Teachers, All Other","1,820",*,"68,880"
AZ,"Preschool Teachers, Except Special Education","6,820",14.91,"31,010"
AZ,"Kindergarten Teachers, Except Special Education","3,040",*,"44,670"
AZ,"Elementary School Teachers, Except Special Education","22,510",*,"44,430"
AZ,"Middle School Teachers, Except Special and Career/Technical Education","11,330",*,"43,560"
AZ,"Career/Technical Education Teachers, Middle School",220,*,"37,780"
AZ,"Secondary School Teachers, Except Special and Career/Technical Education","17,200",*,"48,610"
AZ,"Career/Technical Education Teachers, Secondary School",820,*,"51,430"
AZ,"Special Education Teachers, Preschool",310,*,"42,830"
AZ,"Special Education Teachers, Kindergarten and Elementary School","2,850",*,"44,590"
AZ,"Special Education Teachers, Middle School","1,560",*,"44,490"
AZ,"Special Education Teachers, Secondary School","2,390",*,"50,190"
AZ,"Special Education Teachers, All Other",340,*,"48,850"
AZ,Adult Basic and Secondary Education and Literacy Teachers and Instructors,930,22.82,"47,460"
AZ,Self-Enrichment Education Teachers,"2,420",20.23,"42,070"
AZ,"Teachers and Instructors, All Other, Except Substitute Teachers","7,080",*,"45,670"
AZ,Substitute Teachers,"3,030",16.38,"34,070"
AZ,Archivists,90,21.10,"43,890"
AZ,Curators,230,27.54,"57,280"
AZ,Museum Technicians and Conservators,150,18.73,"38,950"
AZ,Librarians,"1,540",23.68,"49,240"
AZ,Library Technicians,"1,250",15.95,"33,170"
AZ,Audio-Visual and Multimedia Collections Specialists,240,19.57,"40,700"
AZ,Instructional Coordinators,"4,160",25.15,"52,310"
AZ,Teacher Assistants,"25,540",*,"25,620"
AZ,"Education, Training, and Library Workers, All Other","1,780",18.63,"38,740"
AZ,"Arts, Design, Entertainment, Sports, and Media Occupations","31,360",26.16,"54,410"
AZ,Art Directors,550,35.71,"74,270"
AZ,Craft Artists,100,20.67,"43,000"
AZ,"Fine Artists, Including Painters, Sculptors, and Illustrators",200,29.90,"62,200"
AZ,Multimedia Artists and Animators,230,30.73,"63,920"
AZ,"Artists and Related Workers, All Other",**,24.09,"50,120"
AZ,Commercial and Industrial Designers,370,37.46,"77,920"
AZ,Floral Designers,340,13.36,"27,800"
AZ,Graphic Designers,"3,120",25.98,"54,030"
AZ,Interior Designers,880,*,*
AZ,Merchandise Displayers and Window Trimmers,"2,110",14.13,"29,390"
AZ,Set and Exhibit Designers,170,19.13,"39,800"
AZ,"Designers, All Other",**,16.64,"34,620"
AZ,Actors,700,36.60,*
AZ,Producers and Directors,"1,250",30.17,"62,760"
AZ,Athletes and Sports Competitors,580,*,*
AZ,Coaches and Scouts,"5,470",*,"49,600"
AZ,"Umpires, Referees, and Other Sports Officials",260,*,"42,170"
AZ,Music Directors and Composers,70,27.79,"57,810"
AZ,"Entertainers and Performers, Sports and Related Workers, All Other",**,25.37,*
AZ,Radio and Television Announcers,520,23.25,"48,360"
AZ,Public Address System and Other Announcers,140,16.20,"33,690"
AZ,Broadcast News Analysts,170,46.75,"97,240"
AZ,Reporters and Correspondents,680,29.52,"61,400"
AZ,Public Relations Specialists,"3,080",30.05,"62,500"
AZ,Editors,"1,020",27.49,"57,180"
AZ,Technical Writers,650,33.45,"69,580"
AZ,Writers and Authors,360,26.64,"55,410"
AZ,Interpreters and Translators,"2,940",22.16,"46,100"
AZ,"Media and Communication Workers, All Other",250,27.33,"56,840"
AZ,Audio and Video Equipment Technicians,"1,500",22.46,"46,710"
AZ,Broadcast Technicians,360,18.38,"38,230"
AZ,Photographers,"1,020",16.11,"33,500"
AZ,"Camera Operators, Television, Video, and Motion Picture",210,29.60,"61,580"
AZ,Film and Video Editors,250,33.85,"70,420"
AZ,"Media and Communication Equipment Workers, All Other",220,39.23,"81,600"
AZ,Healthcare Practitioners and Technical Occupations,"161,490",40.40,"84,030"
AZ,Chiropractors,860,32.43,"67,460"
AZ,"Dentists, General","2,520",89.84,"186,870"
AZ,Oral and Maxillofacial Surgeons,**,#,#
AZ,"Dentists, All Other Specialists",110,85.53,"177,900"
AZ,Dietitians and Nutritionists,"1,390",26.47,"55,060"
AZ,Optometrists,660,60.06,"124,920"
AZ,Pharmacists,"7,420",60.20,"125,210"
AZ,Anesthesiologists,740,134.21,"279,160"
AZ,Family and General Practitioners,"3,290",100.87,"209,810"
AZ,"Internists, General",740,104.72,"217,820"
AZ,Obstetricians and Gynecologists,350,106.64,"221,820"
AZ,"Pediatricians, General",980,72.80,"151,420"
AZ,Psychiatrists,810,115.70,"240,660"
AZ,Surgeons,**,#,#
AZ,"Physicians and Surgeons, All Other","5,120",110.14,"229,090"
AZ,Physician Assistants,"2,100",48.84,"101,590"
AZ,Podiatrists,220,69.05,"143,620"
AZ,Occupational Therapists,"2,120",45.58,"94,800"
AZ,Physical Therapists,"3,950",42.69,"88,800"
AZ,Radiation Therapists,320,40.86,"84,990"
AZ,Recreational Therapists,750,23.77,"49,440"
AZ,Respiratory Therapists,"2,560",28.09,"58,420"
AZ,Speech-Language Pathologists,"2,320",35.92,"74,710"
AZ,Exercise Physiologists,150,27.28,"56,750"
AZ,"Therapists, All Other",150,29.54,"61,450"
AZ,Veterinarians,"1,280",47.44,"98,680"
AZ,Registered Nurses,"54,690",37.02,"77,000"
AZ,Nurse Anesthetists,**,69.55,"144,670"
AZ,Nurse Midwives,100,55.24,"114,900"
AZ,Nurse Practitioners,"3,510",53.25,"110,750"
AZ,Audiologists,210,41.90,"87,150"
AZ,"Health Diagnosing and Treating Practitioners, All Other",540,34.03,"70,780"
AZ,Clinical Laboratory Technologists and Technicians,"7,000",25.70,"53,460"
AZ,Dental Hygienists,"3,200",41.29,"85,890"
AZ,Cardiovascular Technologists and Technicians,830,27.92,"58,080"
AZ,Diagnostic Medical Sonographers,"1,920",40.06,"83,320"
AZ,Nuclear Medicine Technologists,280,40.50,"84,230"
AZ,Radiologic Technologists,"3,750",31.36,"65,220"
AZ,Magnetic Resonance Imaging Technologists,940,38.04,"79,120"
AZ,Emergency Medical Technicians and Paramedics,"3,620",18.40,"38,260"
AZ,Dietetic Technicians,"1,350",13.58,"28,250"
AZ,Pharmacy Technicians,"9,310",16.87,"35,090"
AZ,Psychiatric Technicians,"2,580",16.45,"34,210"
AZ,Respiratory Therapy Technicians,440,28.32,"58,900"
AZ,Surgical Technologists,"2,300",24.36,"50,680"
AZ,Veterinary Technologists and Technicians,"1,550",16.30,"33,910"
AZ,Ophthalmic Medical Technicians,630,19.45,"40,450"
AZ,Licensed Practical and Licensed Vocational Nurses,"6,810",26.00,"54,090"
AZ,Medical Records and Health Information Technicians,"6,400",19.62,"40,800"
AZ,"Opticians, Dispensing","1,460",18.27,"37,990"
AZ,Orthotists and Prosthetists,140,34.14,"71,010"
AZ,Hearing Aid Specialists,**,26.46,"55,040"
AZ,"Health Technologists and Technicians, All Other","2,660",23.48,"48,840"
AZ,Occupational Health and Safety Specialists,"1,350",34.06,"70,840"
AZ,Occupational Health and Safety Technicians,330,26.82,"55,780"
AZ,Athletic Trainers,680,*,"46,140"
AZ,Genetic Counselors,50,38.54,"80,160"
AZ,"Healthcare Practitioners and Technical Workers, All Other",660,22.72,"47,250"
AZ,Healthcare Support Occupations,"73,620",15.80,"32,860"
AZ,Home Health Aides,"17,570",12.24,"25,470"
AZ,Nursing Assistants,"14,750",15.12,"31,450"
AZ,Orderlies,800,12.70,"26,410"
AZ,Occupational Therapy Assistants,"1,020",28.41,"59,090"
AZ,Occupational Therapy Aides,140,18.63,"38,760"
AZ,Physical Therapist Assistants,"2,480",22.62,"47,050"
AZ,Physical Therapist Aides,940,13.63,"28,360"
AZ,Massage Therapists,"2,400",20.36,"42,340"
AZ,Dental Assistants,"6,850",19.56,"40,680"
AZ,Medical Assistants,"18,250",16.06,"33,410"
AZ,Medical Equipment Preparers,"1,320",17.62,"36,660"
AZ,Medical Transcriptionists,950,15.41,"32,050"
AZ,Pharmacy Aides,280,18.51,"38,500"
AZ,Veterinary Assistants and Laboratory Animal Caretakers,"2,780",14.08,"29,300"
AZ,Phlebotomists,"1,220",15.77,"32,810"
AZ,"Healthcare Support Workers, All Other","1,850",19.81,"41,210"
