st,occupation,tot_emp,hr_mean,avg_mean
AL,"Engineering Technicians, Except Drafters, All Other",720,28.55,"59,380"
AL,Surveying and Mapping Technicians,830,20.60,"42,850"
AL,"Life, Physical, and Social Science Occupations","8,560",31.18,"64,860"
AL,Food Scientists and Technologists,30,26.12,"54,340"
AL,Soil and Plant Scientists,50,30.35,"63,130"
AL,Biochemists and Biophysicists,60,42.08,"87,520"
AL,Microbiologists,**,28.68,"59,660"
AL,Zoologists and Wildlife Biologists,130,27.69,"57,600"
AL,"Biological Scientists, All Other",260,32.31,"67,200"
AL,Conservation Scientists,130,28.51,"59,310"
AL,Foresters,170,31.36,"65,230"
AL,"Medical Scientists, Except Epidemiologists",180,43.41,"90,300"
AL,"Life Scientists, All Other",120,47.94,"99,720"
AL,Physicists,160,64.39,"133,930"
AL,Atmospheric and Space Scientists,230,50.06,"104,130"
AL,Chemists,610,36.65,"76,220"
AL,Materials Scientists,70,31.81,"66,170"
AL,"Environmental Scientists and Specialists, Including Health",840,32.51,"67,630"
AL,"Geoscientists, Except Hydrologists and Geographers",210,31.24,"64,970"
AL,"Physical Scientists, All Other",110,58.86,"122,420"
AL,Economists,50,49.88,"103,740"
AL,"Clinical, Counseling, and School Psychologists",720,33.21,"69,070"
AL,"Psychologists, All Other",140,43.29,"90,050"
AL,Urban and Regional Planners,360,28.67,"59,630"
AL,Anthropologists and Archeologists,60,26.15,"54,390"
AL,Historians,40,32.63,"67,870"
AL,"Social Scientists and Related Workers, All Other",220,40.81,"84,890"
AL,Agricultural and Food Science Technicians,100,18.25,"37,960"
AL,Biological Technicians,300,18.33,"38,130"
AL,Chemical Technicians,"1,130",24.39,"50,740"
AL,Geological and Petroleum Technicians,40,25.09,"52,180"
AL,"Environmental Science and Protection Technicians, Including Health",300,24.77,"51,520"
AL,Forensic Science Technicians,210,24.03,"49,990"
AL,Forest and Conservation Technicians,200,21.14,"43,970"
AL,"Life, Physical, and Social Science Technicians, All Other","1,030",22.40,"46,600"
AL,Community and Social Service Occupations,"18,720",21.54,"44,790"
AL,"Educational, Guidance, School, and Vocational Counselors","3,770",25.68,"53,420"
AL,Marriage and Family Therapists,240,19.49,"40,540"
AL,Rehabilitation Counselors,980,20.71,"43,080"
AL,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","1,600",20.50,"42,640"
AL,"Counselors, All Other",110,28.44,"59,150"
AL,"Child, Family, and School Social Workers","3,460",19.57,"40,710"
AL,Healthcare Social Workers,"2,770",22.95,"47,740"
AL,Mental Health and Substance Abuse Social Workers,"1,070",17.65,"36,700"
AL,"Social Workers, All Other",420,28.78,"59,860"
AL,Health Educators,330,25.51,"53,060"
AL,Probation Officers and Correctional Treatment Specialists,"1,110",21.96,"45,680"
AL,Social and Human Service Assistants,"1,350",13.82,"28,740"
